subject,language,abbrevation,category,sequence of presentation,action,verbs,playmobil elements,framesetter,topic,verb,action_order,action_FTV,action_TVF,action_TFV,action_FVT,action_VTF,action_VFT,notes,oral text,oral_framesetter,oral_topic,oral_verb,oral_order,oral_FTV,oral_TVF,oral_TFV,oral_FVT,oral_VTF,oral_VFT,notes,MatchActionOral,,,,,,,,,
4,E,4b,E,22,farmer sits,sit,"farmer, doctor",1,,2,,0,0,0,0,0,0,,A 6 o clock the woman sits,1,2,3,FTV,1,0,0,0,0,0,,n.a.,,,,,,,,,
4,E,,F,23,tire lies,lie,tire,,1,2,,0,0,0,0,0,0,,the hoop ois on the ground,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
4,E,8u,E,24,boat sinks,sink,"boat, ball",,1,2,,0,0,0,0,0,0,,A 4 o clock the boat sinks,1,2,3,FTV,1,0,0,0,0,0,,n.a.,,,,,,,,,
4,E,,F,25,ball hops,hop,"ball, doctor",,1,2,,0,0,0,0,0,0,,the soccer ball is moving,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
4,E,2b,E,26,cow moos,moo,"cow, dog",1,2,3,FTV,1,0,0,0,0,0,,At 10 o clock the cow moos,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
4,E,5u,E,27,car shutters,shudder,"car, cart",2,1,3,TFV,0,0,1,0,0,0,,At 3 oclock the car shudders,1,2,3,FTV,1,0,0,0,0,0,,0,,,,,,,,,
4,E,,F,28,doctor stands,stand,"woman, farmer, doctor",,1,2,,0,0,0,0,0,0,,the woman stands,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
4,E,8b,E,29,seal dives into the water,dive,"seal, ball",2,1,3,TFV,0,0,1,0,0,0,,Tat 4 oclock the seal dives,1,2,3,FTV,1,0,0,0,0,0,,0,,,,,,,,,
4,E,1u,E,30,ball lies on the ground,lie,"ball, horse",1,2,3,FTV,1,0,0,0,0,0,,At 3 oclock the soccer ball is still,1,2,3,FTV,1,0,0,0,0,0,,1,,,,,,,,,
5,E,Tb,T,T,woman turns around,turn,"woman, dog",3,1,2,TVF,0,1,0,0,0,0,,a girls is spinning in a circle at 11 o clock,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
5,E,Tu,T,T,tire turns around,turn,"tire, dog",3,1,2,TVF,0,1,0,0,0,0,,a ring is spinning at 11 o clock to the left,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
5,E,10b,E,1,sailor smokes,smoke,"sailor, dog",3,1,2,TVF,0,1,0,0,0,0,,a sailor is smoking at 6 o clock,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
5,E,,F,2,horse carries the ball,carry,"horse, farmer, seal",,1,2,,0,0,0,0,0,0,,a horse is carring a soccer ball surrounded bz grass,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
5,E,3u,E,3,car drives down the hill,drive,"car, cart",3,1,2,TVF,0,1,0,0,0,0, ,a gree car is going down a hill at 10 o clock,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
5,E,6b,E,4,cow hops,hop,"cow, fireman",3,1,2,TVF,0,1,0,0,0,0,,a cow is jumping or hoping at 3 ockock,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
5,E,,F,5,boat swims in the sea,swim,"sailor, boat",,1,2,,0,0,0,0,0,0,,a lifeboat is sitting or floating in the sea,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
5,E,,F,6,farmer runs down the street,run,"farmer, horse, farmer",,1,2,,0,0,0,0,0,0,,a man is walking through the grass with a red vest and green pants,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
5,E,4u,E,7,ball lies,lie,"ball, doctor",2,1,3,TFV,0,0,1,0,0,0,,a socer ball is just ling at 6 o clock,3,1,2,TVF,0,1,0,0,0,0,,0,,,,,,,,,
5,E,2u,E,8,car honks,honk,"car, dog",3,1,2,TVF,0,1,0,0,0,0,,a green truck is honking at 11 o clcok,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
5,E,9b,E,9,seal lies on a rock,lie,"seal, horse",1,,2,,0,0,0,0,0,0,,a seali s resting on a rock at 6 o coclock,3,1,2,TVF,0,1,0,0,0,0,,n.a.,,,,,,,,,
5,E,,F,10,car shudders,shudder,car,,1,2,,0,0,0,0,0,0,,a green car is shaking,,1,2,,0,0,0,0,0,0,,,,,,,,,,,
5,E,7b,E,11,farmer runs across the meadow,run,"farmer, cow",3,1,2,TVF,0,1,0,0,0,0,,a woman with a red shirt and skirt is walking at 6  colcok ,3,1,2,TVF,0,1,0,0,0,0,,1,,,,,,,,,
